Ld,Lb,growth_rate,length,condition
63.434334814257305,33.506647981528864,13.031911493298516,[34 37 38 39 41 43 46 48 49 51 61 61],glucoseaa
61.46937126362877,36.695231288348175,16.123069796826375,[37 39 40 42 43 45 47 49 52 54 57 59],glucoseaa
66.93955497601232,34.90495492481316,15.967178100423267,[33 37 38 40 42 44 47 48 49 50 53 56 59 62 64],glucoseaa
63.68736761898198,35.0226120887654,15.068610496617039,[35 37 38 41 43 45 45 48 50 52 54 58 63],glucoseaa
67.48385309668853,29.790658122837886,15.25834471091385,[28 30 35 39 36 35 37 38 41 46 50 50 52 53 57 59 61 64],glucoseaa
57.704230406135885,29.14945236048379,16.240220302437578,[31 31 33 30 34 36 38 41 41 42 44 45 48 51 53 57],glucoseaa
53.90576470533528,27.586843473324308,14.485867995667448,[27 30 30 32 33 36 37 38 40 42 45 46 49 52],glucoseaa
66.9649628168185,31.15794348380499,14.495295072473652,[32 32 34 36 36 39 43 44 47 48 49 53 55 59 61 63],glucoseaa
58.716612286372026,28.990336908691276,13.749799934057409,[30 31 31 33 36 38 39 41 43 45 48 50 54 56],glucoseaa
60.29914184056908,27.531923972639696,12.37807552407601,[28 30 31 32 34 36 39 40 43 45 48 52 54 57],glucoseaa
65.64316937945051,32.15256284095466,18.45177633800461,[32 34 35 36 37 39 41 42 44 45 47 47 50 52 54 55 59 61 65],glucoseaa
57.45853193542904,29.188618665534058,15.351311780311516,[30 30 31 33 35 37 37 40 42 45 47 49 51 51 54],glucoseaa
60.09354314790729,26.599257049149692,12.757010857732588,[28 29 30 31 32 34 36 39 41 43 46 48 52 54 57],glucoseaa
68.29787402566633,27.45058681372914,14.448628757911008,[30 30 31 32 35 36 36 39 39 41 42 44 47 50 52 57 59 64 68],glucoseaa
63.55994299003057,25.441863606583777,12.869881537371405,[26 28 28 30 31 33 36 36 39 40 44 47 49 50 54 57 61],glucoseaa
69.9563317051755,33.667786462244,15.164643933949739,[35 36 37 39 39 41 43 46 49 52 54 55 58 61 64 67],glucoseaa
68.38961124143236,31.632216646071438,12.585598573874336,[30 34 35 36 40 42 44 47 50 53 56 58 61 63],glucoseaa
73.33261276433151,34.723423291687936,12.980441419670335,[36 38 38 41 42 44 47 50 53 57 59 64 66 69],glucoseaa
71.24980537107542,39.575892846202336,20.04092652381961,[41 41 42 42 44 47 48 52 53 54 56 59 61 63 63 65 69],glucoseaa
65.93655966681354,29.428151667195763,13.74710182424334,[30 31 32 34 36 38 40 41 45 47 49 51 53 56 59 64],glucoseaa
71.11901015508778,31.341538075762426,11.842735944555214,[32 33 36 37 40 41 45 46 50 53 57 60 62 68],glucoseaa
63.341502540269445,32.288851844416214,15.430273975511692,[34 36 35 36 37 39 42 44 47 48 50 53 56 58 61],glucoseaa
63.15874651161842,29.058037258050184,14.28513675478732,[31 30 31 33 36 37 40 40 42 47 48 47 49 55 59 61],glucoseaa
75.69176209528239,32.317093368184885,13.845465180976333,[37 38 38 37 39 40 44 45 45 48 52 54 56 59 64 74 76],glucoseaa
60.431836047951066,32.635871141057905,25.876125514788285,[33 35 37 36 36 36 37 39 40 41 42 43 45 47 48 48 49 51 53 54 56 58 60],glucoseaa
77.5410900558261,42.09972080766616,15.88832143334095,[44 46 47 47 49 51 55 55 59 61 65 64 80 72],glucoseaa
66.76757373389263,34.349817904420945,13.557976289753528,[33 36 40 40 42 45 46 49 51 55 57 61 63],glucoseaa
62.06945734392589,27.13288034308223,15.077380571375008,[29 30 30 32 32 34 35 37 38 41 42 44 46 49 51 55 57 61],glucoseaa
67.72494155034286,30.28018954757385,13.777508650601902,[33 32 34 36 36 39 39 42 45 46 50 53 56 58 62 65],glucoseaa
83.95338290498482,33.970383810884066,14.555918745703295,[36 38 38 41 43 44 45 48 50 50 53 55 57 61 63 68 71 74 91],glucoseaa
88.07829060296798,33.94285177194673,15.26519249476308,[35 37 38 40 40 42 45 47 49 52 54 55 58 59 62 64 69 73 78 83 86],glucoseaa
77.0843331722991,42.77959335113643,14.125708618612148,[43 45 45 49 52 55 59 62 63 67 71 71],glucoseaa
71.01992843207249,33.631385550691306,12.054720753349986,[37 36 37 40 42 44 46 49 53 56 60 63 69],glucoseaa
70.62193184461535,42.412999194053945,12.234747598672504,[45 44 46 50 53 56 59 64 67],glucoseaa
74.94232311583825,43.11491174417236,17.552795006524818,[41 43 46 49 51 55 56 58 59 62 65 66 68 71],glucoseaa
64.91782685013939,34.32758964392459,14.14202285214349,[35 37 37 39 43 43 45 49 50 54 56 59 62],glucoseaa
79.11094607421026,36.46680848798369,13.425301037660839,[37 40 41 41 45 49 48 52 54 58 60 64 68 72 76],glucoseaa
62.675729329969904,33.215966631451536,15.283342587652783,[33 35 37 38 40 43 43 45 47 49 52 54 59 60],glucoseaa
63.38341047466343,28.807171979928565,11.426790839172922,[30 31 32 35 36 38 42 44 46 50 52 57 60],glucoseaa
76.12795486289691,39.7858506407998,14.954534849693799,[38 41 45 46 49 51 53 55 57 59 63 66 71 72],glucoseaa
56.504056530748784,34.635886694642906,18.411333165061667,[35 35 37 40 41 42 43 44 46 49 51 53 54],glucoseaa
58.504918019521625,28.78177140749356,13.679856903147185,[30 31 32 33 35 37 37 42 43 45 47 50 54 56],glucoseaa
77.89729955014296,26.435702509938867,11.545228450570349,[26 28 30 32 33 37 40 42 43 44 48 51 53 56 57 60 81 71],glucoseaa
90.02669067059162,32.470784067486406,14.273959472375385,[35 38 36 40 42 41 42 45 47 48 51 54 56 58 62 67 71 75 79 83 88],glucoseaa
60.91593303239692,35.34563780295202,20.374704821185894,[36 35 40 40 41 43 43 43 45 47 49 50 54 57 56 60],glucoseaa
57.893950743166464,30.940813700438422,14.382098482694103,[32 33 35 36 37 38 40 43 45 48 50 53 56],glucoseaa
65.68985708404968,26.315626326709644,12.12350002214652,[28 29 31 32 34 36 37 39 41 41 45 48 49 53 56 71],glucoseaa
77.83644355583914,49.48188754544133,18.361390960491637,[49 52 53 55 58 59 62 65 68 70 72 74],glucoseaa
71.379683242662,41.17203522417813,13.85654412424224,[42 44 46 48 50 53 53 58 60 65 70],glucoseaa
64.82222133823734,33.12521668613412,12.3895450361424,[35 37 35 38 42 43 46 48 51 56 58 62],glucoseaa
